missouri-united_states,5859456
montana-united_states,865987
nebraska-united_states,1525272
nevada-united_states,3016697
new_hampshire-united_states,1328148
new_jersey-united_states,8882190
new_mexico-united_states,1667533
new_york-united_states,16861025
north_carolina-united_states,9917875
north_dakota-united_states,606418
ohio-united_states,11173860
oklahoma-united_states,3657634
oregon-united_states,4007074
pennsylvania-united_states,12587497
rhode_island-united_states,1059361
south_carolina-united_states,5039975
south_dakota-united_states,735892
tennessee-united_states,6564929
texas-united_states,22984561
utah-united_states,2865882
vermont-united_states,610591
virginia-united_states,7907230
washington-united_states,7549403
west_virginia-united_states,1322998
wisconsin-united_states,5174571
wyoming-united_states,497240
dukes_and_nantucket-massachusetts-united_states,28731
kansas_city-missouri-united_states,488943
michigan_department_of_corrections_mdoc-michigan-united_states,
federal_correctional_institution_fci-michigan-united_states,
air_force-united_states_military-united_states,
army-united_states_military-united_states,
marine_corps-united_states_military-united_states,
navy-united_states_military-united_states,
united_states_military-united_states,
inmates-federal_bureau_of_prisons-united_states,
staff-federal_bureau_of_prisons-united_states,
federal_bureau_of_prisons-united_states,
bear_river-utah-united_states,186818
central_utah-utah-united_states,81954
southeast_utah-utah-united_states,40229
southwest_utah-utah-united_states,252042
tricounty-utah-united_states,56622
weber-morgan-utah-united_states,272337
veteran_hospitals-united_states,
autauga-alabama-united_states,55869
baldwin-alabama-united_states,223234
barbour-alabama-united_states,24686
bibb-alabama-united_states,22394
blount-alabama-united_states,57826
bullock-alabama-united_states,10101
butler-alabama-united_states,19448
calhoun-alabama-united_states,113605
chambers-alabama-united_states,33254
cherokee-alabama-united_states,26196
chilton-alabama-united_states,44428
choctaw-alabama-united_states,12589
clarke-alabama-united_states,23622
clay-alabama-united_states,13235
cleburne-alabama-united_states,14910
coffee-alabama-united_states,52342
colbert-alabama-united_states,55241
conecuh-alabama-united_states,12067
coosa-alabama-united_states,10663
covington-alabama-united_states,37049
crenshaw-alabama-united_states,13772
cullman-alabama-united_states,83768
dale-alabama-united_states,49172
dallas-alabama-united_states,37196
dekalb-alabama-united_states,71513
elmore-alabama-united_states,81209
escambia-alabama-united_states,36633
etowah-alabama-united_states,102268
fayette-alabama-united_states,16302
franklin-alabama-united_states,31362
geneva-alabama-united_states,26271
greene-alabama-united_states,8111
hale-alabama-united_states,14651
henry-alabama-united_states,17205
houston-alabama-united_states,105882
jackson-alabama-united_states,51626
jefferson-alabama-united_states,658573
lamar-alabama-united_states,13805
lauderdale-alabama-united_states,92729
lawrence-alabama-united_states,32924
lee-alabama-united_states,164542
limestone-alabama-united_states,98915
lowndes-alabama-united_states,9726
macon-alabama-united_states,18068
madison-alabama-united_states,372909
marengo-alabama-united_states,18863
marion-alabama-united_states,29709
marshall-alabama-united_states,96774
mobile-alabama-united_states,413210
monroe-alabama-united_states,20733
montgomery-alabama-united_states,226486
morgan-alabama-united_states,119679
perry-alabama-united_states,8923
pickens-alabama-united_states,19930
pike-alabama-united_states,33114
randolph-alabama-united_states,22722
russell-alabama-united_states,57961
st._clair-alabama-united_states,89512
shelby-alabama-united_states,217702
sumter-alabama-united_states,12427
talladega-alabama-united_states,79978
tallapoosa-alabama-united_states,40367
tuscaloosa-alabama-united_states,209355
walker-alabama-united_states,63521
washington-alabama-united_states,16326
wilcox-alabama-united_states,10373
winston-alabama-united_states,23629
aleutians_east-alaska-united_states,3337
aleutians_west-alaska-united_states,5634
anchorage-alaska-united_states,288000
bethel-alaska-united_states,18386
bristol_bay-alaska-united_states,836
denali-alaska-united_states,2097
dillingham-alaska-united_states,4916
fairbanks_north_star-alaska-united_states,96849
haines-alaska-united_states,2530
hoonah-angoon-alaska-united_states,2148
juneau-alaska-united_states,31974
kenai_peninsula-alaska-united_states,58708
ketchikan_gateway-alaska-united_states,13901
kodiak_island-alaska-united_states,12998
kusilvak-alaska-united_states,8314
lake_and_peninsula-alaska-united_states,1592
matanuska-susitna-alaska-united_states,108317
nome-alaska-united_states,10004
north_slope-alaska-united_states,9832
northwest_arctic-alaska-united_states,7621
petersburg-alaska-united_states,3266
prince_of_wales-hyder-alaska-united_states,6203
sitka-alaska-united_states,8493
skagway-alaska-united_states,1183
southeast_fairbanks-alaska-united_states,6893
valdez-cordova-alaska-united_states,9202
wrangell-alaska-united_states,2502
yakutat-alaska-united_states,579
yukon-koyukuk-alaska-united_states,5230
apache-arizona-united_states,71887
cochise-arizona-united_states,125922
coconino-arizona-united_states,143476
gila-arizona-united_states,54018
graham-arizona-united_states,38837
greenlee-arizona-united_states,9498
la_paz-arizona-united_states,21108
